Name,Tag,Server,Region
GSW Highlander,WELL,br,americas
KarmaORTeemo,kaka,euw,europe
Lion Barba Roja,LAN,lan,americas
PCS HAMTARO,GOAT,euw,europe
yobue,0424,kr,asia
sanspareil4,SPGG,kr,asia
no chat only 1v9,carry,tr,europe
never give up,ucan,euw,europe
X2daZ,Spear,euw,europe
dota2isbeter,NA1,na,americas
DREAM,KR123,kr,asia
Caprut,EUW,euw,europe
inabilities8,EUW,euw,europe
Jojopyun,KTr,las,americas
Gimkooo,jgl,euw,europe
0liveJuice5,NA1,na,americas
Tiji,ACM,euw,europe
emotionaI,KR1,kr,asia
Wasza Szerokosc,EUW,euw,europe
Karacali,SSS,tr,europe
MatousB1,0420,eune,europe
ASDASDASDdds,cCAnn,las,americas
Drachun Mid Acc,R1WW,euw,europe
Mythran1,5259,eune,europe
IZROTH7,RML,lan,americas
Aftercare,BDSM,eune,europe
Zaun Mendes,VANDR,na,americas
ZauN,Nitas,br,americas
brelia4real,EUW,euw,europe
TTV RiskReforged,Tokz,euw,europe
X Wing,EUNE,eune,europe
TopWolfGG,CZE,eune,europe
183cm83kg25cm,25CM,tr,europe
Neto,SLAY,euw,europe
kyoko,Sakur,euw,europe
Calm Silence,NA1,na,americas
TrollingRookies,EUNE,eune,europe
Hyacinth,CWL,eune,europe
Nurmengard,EUW,euw,europe
f0rsakeN,6095,kr,asia
ihatechanges,111,tr,europe
TOP OMEGA CANYON,YWTDE,euw,europe
Naxus95,1011,euw,europe
TricksterNight,CAOS,las,americas
DG FireWing,EUW,euw,europe
NoKePa2oo,EUW,euw,europe
QuentinTurnBULL,TR1,tr,europe
Ghost,UYD0,lan,americas
LeonZonious,LZS,eune,europe
LYGX Ash,LAN,lan,americas
Akaliperiodblood,Yummy,euw,europe
UN SEGARRO AMEGO,RAVAL,euw,europe
jingle Bell,4349,lan,americas
Clyqingtas,9587,euw,europe
LaSinon,26030,euw,europe
Moosenaski,111,na,americas
RIP,QNXGG,kr,asia
ANIMA LIBERA,uwu,euw,europe
Michelin,LAS1,las,americas
Rakhen,NA1,na,americas
AGROUUU,ALPHA,euw,europe
HEXALOR,TR1,tr,europe
FL kalehond,dog,euw,europe
Xurmagogovp,RU1,ru,europe
Saint Swiss,NA2,na,americas
soy moco,LAS,las,americas
Buggsik,EUNE,eune,europe
FireSin,NA1,na,americas
Eissansipre,EUW,euw,europe
lillillililllili,KR1,kr,asia
Yami no Jigoku,LAN,lan,americas
NeonPrice,TR1,tr,europe
le couteau,111,tr,europe
bloodstained,rug,na,americas
kyosuke,panza,br,americas
Nf6,NA2,lan,americas
BISER,0106,eune,europe
0572928561950478,HELLO,euw,europe
RAMIER,8888,euw,europe
Burgi77,HECA7,euw,europe
GoodDeathsOnly,NA2,lan,americas
ttv intekk,JGL,eune,europe
PAUL POGBA 2014,JUVEN,euw,europe
Verdal,2552,euw,europe
tuntuntuntun,sahur,tr,europe
Dantes,Aevum,na,americas
My Dream LJL,SF1,jp,asia
angiecandy,neal,na,americas
joint,YELLO,euw,europe
can see you,666,kr,asia
BESH ME HARDER,EUW,euw,europe
Ali,0119,tr,europe
JovanaVratiSe,heca,eune,europe
guma,kkkkk,br,americas
SEREGA RAKETA,lol,euw,europe
Lordkukura,1779,eune,europe
THA SE MAXAIRWSW,ggez,euw,europe
chaaz47,1337,euw,europe
The 1v9,ye1v9,euw,europe
Processo Civil,AGU,br,americas
i dont care,cbaaa,euw,europe
sadge dog,kek,eune,europe
Zelleonash,7116,euw,europe
Baatorage,NA1,na,americas
EquinoVelozAgil3,SKR,br,americas
Hunter,IIIII,lan,americas
GiannelisOmonoia,sisa,eune,europe
La rata is glide,Plum,eune,europe
010010010010,0101,kr,asia
Abo obidaaa,111,euw,europe
kabat,noob,eune,europe
iubesc minore,black,eune,europe
vifoEUWHECARIM,heca,euw,europe
ra1der,1337,euw,europe
yfsuygyauysywtey,JULHO,br,americas
Bring Hman Back,1933,euw,europe
Who am I,0802,kr,asia
leesin4,NA1,na,americas
Daiwiky,br1,br,americas
xtc,mirro,euw,europe
NapoleonicSiege,NPCS,eune,europe
IlIlllllllllllIl,KR1,kr,asia
FF FF FF FF FF,FF FF,euw,europe
Pitbull do samba,1214,br,americas
dont stay awake,D3ATH,eune,europe
Quinowilinay,68298,ru,europe
TTizzle830,NA1,na,americas
Shanglui,xpp,eune,europe
Berserk,KR10,br,americas
Muackhin,EUNE,eune,europe
Ofi The Mogger,mewin,euw,europe
TOP OF THE CITY,22222,na,americas
17 ans 0 avenir,95100,euw,europe
marcelove,4i20,br,americas
Eamispi,NA1,na,americas
PoProstuSynek,SZEF,eune,europe
Verdon v2,EUW,euw,europe
Moonkie,01234,euw,europe
Syringepower,EUNE,eune,europe
Daikong,BG3,na,americas
mogging,99999,na,americas
spippi,xvi,euw,europe
Regl Koklayan,cCc,tr,europe
TrueAlpha Rengar,Alpha,tr,europe
Unpaid Astronaut,EUNE,eune,europe
aggelossl,EUNE,eune,europe
IsrarCash,444,tr,europe
veveras003,EUNE,eune,europe
StrikGrunge,BR1,br,americas
Exotic Ninja,EUW,euw,europe
Don Nunu,911,las,americas
miflond555,EUW,euw,europe
Glurby,EUW,euw,europe
jufriosdhso,TR1,tr,europe
Zane,9970,na,americas
Sultan892,3mk,euw,europe
Tuzlo,NA1,na,americas
Dakk3 LFT v2,EUW,euw,europe
rroyal,br1,br,americas
Blake45,LAN,lan,americas
Hustle,RU1,ru,europe
dota2isbeter,NA1,na,americas
BioFire,EUNE,eune,europe
SwL Marrouu,EUW,euw,europe
Fatihix,EUW,euw,europe
Redo,NA0,na,americas
kagavka,KAG,eune,europe
Tetan,EUW,euw,europe
Easy,16211,ru,europe
Doraikon,NA1,na,americas
Chris smileyface,EUW,euw,europe
iochin ikiki,BR1,br,americas
FakeBlueBanana,EUNE,eune,europe
skipwavehelpteam,123,na,americas
RetiredGambler,77777,eune,europe
zuiop21,Zui,eune,europe
SzAiNoK,EUNE,eune,europe
CarterV15,JP1,jp,asia
Br1dgeMan,EUW,euw,europe
FireBrigade,EUNE,eune,europe
buttercreme,3M69,na,americas
Kviksteron,111,ru,europe
Pietrasek04,EUNE,eune,europe
Bug,Feet,na,americas
Miqqy,EUW,euw,europe
Greey,0000,tr,europe
Jankoks,EUNE,eune,europe
Nagahama,0001,kr,asia
Frozy,500,eune,europe
MikeyManjiroSano,EUW,euw,europe
F U S E R 1,KING,eune,europe
Carlinho,777,br,americas
LaLeLo,420,las,americas
KakTvouKot,RU1,ru,europe
Eguita on bush,LAS,las,americas
Pupito508,br1,br,americas
Letzus22,LAS,las,americas
hecee,111,euw,europe
Javichuela03,EUW,euw,europe
Actofnature,EUNE,eune,europe
Chrovos,1503,na,americas
OTPyke,12344,tr,europe
DontEvenLike,You,na,americas
HEEEELO MA FREND,EUW,euw,europe
Coltz,999,lan,americas
Dryan is Kira,King,eune,europe
AgenteJef,777,lan,americas
hi im JG min,EUNE,eune,europe
Auspex,MBS,na,americas
Amrr,Annie,na,americas
Bug,Feet,na,americas
RG Stefwhynot,JGL,euw,europe
as5zmqk8rtnsld41,1234,na,americas
guangtijgk,gtsu,kr,asia
MISS HER,EUW01,euw,europe
Gebby09,Bull,eune,europe
THE THROAT GOAT,FRKSZ,las,americas
rn acc,0303,euw,europe
Farmazoniarz,EUW,euw,europe
iLikeRatFeet,EUW,euw,europe
estic aburrit,dani,euw,europe
kevoe,EUW,euw,europe
SaptanTrion,RU1,ru,europe
Sniffemonster,0161,euw,europe
PizzaYolo75,EUW,euw,europe
Rey makako,LAN2,lan,americas
Shadow EL Momes,MOMES,euw,europe
Lfz,br1,br,americas
Baxenanca,TR1,tr,europe
runnerby,00000,tr,europe
Mike,MOB,na,americas
Maliketh,3850,las,americas
League of ff 15,ff15,euw,europe
haversack,haver,na,americas
cazazurdos,eaa,las,americas
omega1160,LAS,las,americas
Aleksandur200,EUW,euw,europe
Zubac,VIEGO,euw,europe
Mahiru Shiina,LCS,na,americas
auslander,361,tr,europe
Cexldem,EUNE,eune,europe
Xinxa,4tree,br,americas
SniperChicken,NA1,na,americas
DodgeMyEbola,brzi,eune,europe
xKeySo,1337,eune,europe
Dayforce,EUNE,eune,europe
teamatesareblack,833,na,americas
Gutsu,3107,euw,europe
Haha High,123,tr,europe
Habubu,OvHoE,euw,europe
DaXiongMaoD,3213,euw,europe
Macaking,lola,lan,americas
caillo,one,kr,asia
Kral Vixen,2006,euw,europe
s3s3 glee glee,EUW,euw,europe
Supreme King,JUDAI,euw,europe
Vikont,WU1,tr,europe
Mortem,119,tr,europe
Boa Hancock,KongA,lan,americas
SC Thorizal,GOAT,euw,europe
Archi,Dell,euw,europe
super eepy acc,eepy,na,americas
Tabla Periodica,perio,las,americas
romazal,EUW,euw,europe
Mr UNCHAINED,42000,eune,europe
JAYA sX,xerek,br,americas
I Preacher I,EUW,euw,europe
LenizKONG,wuk,br,americas
WNR,LAN,lan,americas
Alber,XDD,euw,europe
Ace Henry,NA1,na,americas
Y99k,000,kr,asia
GENERAL MONKE,MONKE,eune,europe
sknahS,VVUE,euw,europe
Monah14,RU1,ru,europe
MICI12,LAN,lan,americas
TTV Pikabam,001,las,americas
About Me,413,na,americas
liIliiliillili,EUW,euw,europe
2222222V2222222,00000,euw,europe
SelfharmMiske,Cut,eune,europe
Mel,Vayne,euw,europe
Ulfric,0737,tr,europe
EkkoSuna,2526,euw,europe
Zandrmal,EUNE,eune,europe
TryhardEkko,0407,euw,europe
ImKind,Xes,tr,europe
austria painter,Laura,euw,europe
ALL RED,1079,euw,europe
TRADER rentable,3177,lan,americas
H777777,G17,euw,europe
sozan,LPG,euw,europe
El Brayayin,LAN,lan,americas
origami angel,mwe,las,americas
Caci,EUNE1,eune,europe
kriscgl,1944,eune,europe
Jestem D00PKIEM,EUNE,eune,europe
jaymarcos,ekko,br,americas
yamete daddy,gasai,tr,europe
AIwaysAgainstMe,CR7,euw,europe
ToMan Chi,LAN,lan,americas
chunzhikun,zypp,kr,asia
2777,277,kr,asia
NoMango,SMKR,na,americas
BONGOS,2007,kr,asia
ObeRmAnHApHEB,XEUEW,euw,europe
Nyne,999,na,americas
Euphoria,honey,lan,americas
ELE FENT,1HAND,euw,europe
Cookielolxx CP,EUNE,eune,europe
Douyin jugtao,ekko,kr,asia
Top G,4817,na,americas
help me,3030,eune,europe
Keo,KR2,kr,asia
RedXtasy,EUNE,eune,europe
oxanda,br1,br,americas
Gutz,EXU,br,americas
white ferrari,7777,euw,europe
rasharo,EKKO,las,americas
george floyd,ns1,euw,europe
iTzKinG,EUNE,eune,europe
jeff bezos ama,zoe,br,americas
uav,777,br,americas
BileygOneEye,EUW,euw,europe
Jorjos,1210,euw,europe
Jennie,zzzzz,eune,europe
Doraemon,yuche,kr,asia
SR KNZ UCHIHA,LAS,las,americas
VC BARRE,sarre,euw,europe
americanvenom,444,tr,europe
Ekko,hamsi,tr,europe
ovine hall,777,euw,europe
AikaPoika1000,Ekko,eune,europe
gsau,LAN,lan,americas
sdq,KR1,kr,asia
Ekkooneshot,911,las,americas
QueenOfDisaster,Lana,las,americas
Lil Gasai,Sky,na,americas
caball0conesc0ba,LAS,las,americas
BrevDue,Potet,euw,europe
ianzera,mengo,br,americas
sad dreamz,sad,euw,europe
leker,2006,kr,asia
DaniFari165,Fari,lan,americas
Chu,KEKW,euw,europe
LC ElGordoNunu,nini,las,americas
ryan gosling,imnot,euw,europe
Ung Hertug,EUW,euw,europe
JSkiLLzZ,EUNE,eune,europe
RAFKOS,EUW01,euw,europe
Ash Maverick,00001,na,americas
BEYOND,HKG,euw,europe
7ED,br1,br,americas
RTnugget,EUW,euw,europe
Wasteland,865,euw,europe
FantasticBorek,TR1,tr,europe
MisterDarcy,NA69,na,americas
Poisonedkid69,EUNE,eune,europe
Twitch MajinZacc,BOO,br,americas
checca,0001,na,americas
Legas,Zac 1,br,americas
gigachadrick,chad,na,americas
uroskg,EUW,euw,europe
Komenti,TR1,tr,europe
qweasdz,5555,kr,asia
Kouyx,Kouyx,br,americas
Barko,614,tr,europe
CHIEFKEEF JG ACC,300,euw,europe
aaquad,NA1,na,americas
chaoai,IU1,kr,asia
HOES LOVE ME,6969,na,americas
Lingdroquan,NA1,na,americas
2121212121,12121,euw,europe
The Great Spider,NoT,las,americas
Rams,Zac,euw,europe
Petite jute,3636,euw,europe
FVN Brunox1001,1001,br,americas
heller124,NA1,na,americas
DenKerHn,br1,br,americas
Kayn,Jung,ru,europe
ALE GENTILEZA,cana,br,americas
4 Stars,god,na,americas
vorkisak,EUW,euw,europe
Smurf Midisoki,LAN,lan,americas
OneAboveAllLoki,LAN,lan,americas
Brunox1001,br1,br,americas
NAIRBE,0013,euw,europe
ZACanagem,br1,br,americas
zactochall,EUNE,eune,europe
darklord70,NA1,na,americas
Scahm Kench,EUW,euw,europe
yss,911,eune,europe
Miasekin,1912,tr,europe
DiMaN4iG,4ypka,ru,europe
So bad in TFT,NA1,na,americas
berryrasp,EUNE,eune,europe
Anchor,XDD,eune,europe
ZAC TILL 1000LP,Krtom,euw,europe
lionvjug,031,kr,asia
Luizera,nos,br,americas
22Wolfalpha22,WOLF2,lan,americas
sia,lvoe,kr,asia
Jabberwocky,1871,euw,europe
ferie spilleren,EUW,euw,europe
MrWolas,EUNE,eune,europe
zJeff,LAN,lan,americas
BECNAC,EUW,euw,europe
JackInTheBox,rudy,euw,europe
Sexy Zac,EUW,euw,europe
suy mai warwik,LAN,lan,americas
Bibi,xdd,euw,europe
Je4ll3y,kr2,kr,asia
PIRADOZACMALUCO,LOUCO,br,americas
ELSMAR,LAN,lan,americas
LCD Soundsystem,EUW,euw,europe
DanknGreen,NA1,na,americas
RichPaul420,NA1,na,americas
School Bully,ZAC,euw,europe
Zacola Gamer,br1,br,americas
Hawlight,loser,euw,europe
ksferdek,EUNE,eune,europe
Yazratche,bia,ru,europe
Roar,KR2,kr,asia
Mikey,81194,na,americas
Katerina Petrova,1515,lan,americas
Chaofun,NA2,na,americas
AdasTR,1211,tr,europe
Fefin Maceta,TESAO,br,americas
Zerientanga,FEAR,las,americas
smurfsarefeeders,NA1,na,americas
navets,steva,eune,europe
JBe,br1,br,americas
izabhela,bdsm,br,americas
ComedorDeBifanas,Tuba,eune,europe
Kuo,0209,kr,asia
L0ganJG,069,na,americas
Riggu,6969,euw,europe
greenday,gloom,kr,asia
anotherpermatogo,EUNE,eune,europe
damiandak,DAK,lan,americas
Suggarr Mommy,TR1,tr,europe
IOP EAU 140,GUIRL,euw,europe
GdeGiako,7373,las,americas
Castle,ARG,br,americas
casca7x dos pred,6969,br,americas
Ortekko,Noba,las,americas
Wenceslau,BR2,br,americas
Zwei,BR69,br,americas
Dx777,RAJOT,euw,europe
Blazed4Days,NA1,na,americas
Saint Aqui,br1,br,americas
me myself and I,mine,lan,americas
Ainda to cm fome,Briar,br,americas
PROMVAL,999,kr,asia
litonex,1234,eune,europe
12Months,Year,na,americas
Tokmak,3838,euw,europe
D3lzer,EUNE,eune,europe
i love feet,briar,euw,europe
Enderluks,Briar,br,americas
hemorragia nasal,bdsm,br,americas
Agressive Kitty,EUNE,eune,europe
simon,purpp,euw,europe
Melibawz,Meli,br,americas
Mozzada,Briar,na,americas
Mage,1825,lan,americas
Akaps,Fancy,kr,asia
Sanguinius,M40,euw,europe
LaMasJugosa,6969,euw,europe
frederico filho,2111,br,americas
Squirb,NA1,na,americas
rush4,KR2,kr,asia
Hexsise,8472,na,americas
Biinh,Corgi,na,americas
MrGaliant,Mr1,ru,europe
heavy lifting,dqpb,euw,europe
Tazx3,000,euw,europe
Arraxx,EGO,lan,americas
Ok Trust Me,KR1,kr,asia
Sanctify,1337,euw,europe
Roar,Briar,kr,asia
Sung Jin Woo,KURAI,euw,europe
ASTA LA VISTA BB,NA1,na,americas
zarganaa hunter,zrgnn,euw,europe
kille Klouzack,LAN,lan,americas
Kiceo,EUW,euw,europe
BloodQueenBriar,Briar,eune,europe
Ms Ganyu,Cryo,br,americas
taru,001,euw,europe
Wildboar,kr2,kr,asia
YoneWick,BSB,euw,europe
Hookei O Gado,2806,br,americas
BizimEGGbu,5343,tr,europe
another year,dct,euw,europe
meowgosia,uwu,eune,europe
test99,987,euw,europe
CZJ7HHQVA9CWCX89,af1,tr,europe
Mugen,luv0,euw,europe
HeartlessElf,Elf,euw,europe
Joorg,EUNE,eune,europe
SHILYX,2007,kr,asia
Think Mark,4fun,na,americas
Emperor,0815,euw,europe
EU CanyonOner,JGgap,euw,europe
sleep late,0606,kr,asia
Hope,T1FAN,euw,europe
ewniah,PR1,na,americas
PesteDeVenetia,Clown,eune,europe
usuariogenerico2,LAS,las,americas
Zeta,Rev,lan,americas
cute kitten,shy1,euw,europe
4 Reasons Why,EUW,euw,europe
nnookkzz,596,euw,europe
Cisne de Gelo,frog,br,americas
tokkami,EUW,euw,europe
naau1,EUW,euw,europe
Stuart,L0k0,br,americas
Cross,BR62,br,americas
invitation,wait,euw,europe
mopsiK,Lamb,eune,europe
BOOST BLONDS DM,LOVE1,na,americas
N9NExASIAN,NA1,na,americas
Supernova,VITA,euw,europe
isac,INT,euw,europe
jungle,5555,euw,europe
Spicy Creampuff,RxS,na,americas
Sriffow,0000,euw,europe
The Fifth Leaf,LFT,euw,europe
SXT Davitikus,EUW,euw,europe
kimchi,chubs,na,americas
Kulgan,001,na,americas
watermel,9999,kr,asia
Rick D Luffy,LAN,lan,americas
AL FOKIN 15,LAN,lan,americas
spme,quin,na,americas
Alverya,Alve,eune,europe
Nessberry,0707,euw,europe
noataga,Simon,euw,europe
tuxas,noEGO,br,americas
Spinko,EUW,euw,europe
4ll g4mes tupr4,BR96,br,americas
DearWolf,BACK,euw,europe
Ina y Ani,lan1,lan,americas
kisno,NA1,na,americas
Somango,LAN,lan,americas
jg montaged,KR1,kr,asia
EbbFlow,Kindr,jp,asia
simple things,001,na,americas
SexyHugoBabyKing,GOD,na,americas
Solo,3633,kr,asia
Ssaiko,CN1,euw,europe
Erukam,EUW,euw,europe
Honor,CUWIN,na,americas
perryjg,quack,na,americas
SmiteOverrIgnite,EUNE,eune,europe
TheBoyWhoLifted,DOGO,eune,europe
MaYsTeur,EUW,euw,europe
Matty,0007,na,americas
AMON ZODIAC,KILL,eune,europe
Son of No One,EUW,euw,europe
Cikey,TR1,tr,europe
ill try,EUNE,eune,europe
Erubin,Fenix,euw,europe
Nadir,br1,br,americas
Mathio in the jg,Grind,euw,europe
4242,3309,euw,europe
Lucetius,GOD,tr,europe
Gremy2,EUWD,euw,europe
perryjg,832,kr,asia
4ll M1ght,EUW,euw,europe
Dopamine,3152,euw,europe
Shaco is a Girl,66666,euw,europe
GODzik,EUNE,eune,europe
chosentwice,NA1,na,americas
Cole Palmer,Laser,eune,europe
stivert123,EUW,euw,europe
Dafatinaliam,1882,euw,europe
JOSEPHBWIPOMODE,0001,br,americas
ismailtaboubi,EUW,euw,europe
smugglarn,EUW,euw,europe
Permanent pain,kev,na,americas
OG Yakal,EUNE,eune,europe
Hemlandaren,SWE,euw,europe
Cookiemanman,Jyoon,na,americas
Fareoh,EUW,euw,europe
Leyan,heca,euw,europe
Viking,100KG,euw,europe
Dunkin,003,euw,europe
DRAGITTO,noaim,euw,europe
enddurself,wuju,euw,europe
Gogojo,JGL,euw,europe
Old Sensei,EUW,euw,europe
Andain,9301,eune,europe
justebu22,1010,tr,europe
Hannu Bulsen,EUW,euw,europe
Skibidi yasu,diddy,eune,europe
Glyalarian,1235,euw,europe
raebiloV,TOP,kr,asia
Young Frex,LAS,las,americas
bicas,Faker,euw,europe
patrick12,patri,las,americas
DIBAN,STORM,las,americas
mamradlivance,1234,na,americas
Zandrmal,EUNE,eune,europe
0TheFartInhaler0,EUW,euw,europe
AnotherGanker,NA2,na,americas
wenwin,wenny,na,americas
MonkeyKing,DIFF,euw,europe
KingRammus,1337,euw,europe
MrClisti,EUW,euw,europe
Perun,KR2,kr,asia
Galex AP,LAN,lan,americas
ElCuerpoDeCristo,LAN,lan,americas
Xplorer,1312,euw,europe
TheCallMeLedio,diff,eune,europe
Yellena,tsung,euw,europe
Acrozo,0001,eune,europe
Ninyos,him,eune,europe
SMN Silenced,1211,lan,americas
EXP Garguentua,JUNG,euw,europe
Naru,0004,lan,americas
pharao,1111,euw,europe
MORTISHAHAHAHAHH,66666,br,americas
south of heaven,KRiC,euw,europe
Kinaynne,EUW,euw,europe
YNTsplinterr,NA1,na,americas
Whitelies,tia,tr,europe
Cuddle Cat Kaos,EUW,euw,europe
vuqfutqsefuqefqz,12345,euw,europe
Sae,abate,lan,americas
bored,44444,euw,europe
V222 is Daddy,UwU,euw,europe
0007,228,ru,europe
HoYoverse Slave,K405,euw,europe
PTSD,GOD,eune,europe
ELO HEAVYWEIGHT,CN2,euw,europe
nikita,3131,tr,europe
SherlupIsHim,111,na,americas
dust or gold,lec,euw,europe
Falling Flower,SVT13,euw,europe
Avispa Culona,lllll,lan,americas
Swanysskel,EUW,euw,europe
Finality,K405,euw,europe
Moonn Shadow,LANA,las,americas
wx PAPITO,jesus,euw,europe
incient,6969,na,americas
DRINK HER BLOOD,876,tr,europe
BunnySIut,999,na,americas
Pegqhund,LAS,las,americas
L9 NGR FKN1 LEO,HYENA,las,americas
kicktv Lymos123,SZN15,tr,europe
kill dyll,876,tr,europe
George,12310,euw,europe
onvt,vvv,kr,asia
selfdestroyer,mxntI,tr,europe
Sherlup,NA1,na,americas
SKT T1 seiya157,LAS,las,americas
kocham winter,owo,eune,europe
Aurora,1678,tr,europe
16azsxc9jxzho0hx,454xx,las,americas
hopeless,1310,euw,europe
MID NEXT ADKING,1SHOT,lan,americas
THE HYENA,fist,las,americas
Discord gg dose,King,euw,europe
Chanchito,ARG,las,americas
TEMS,naija,na,americas
rato ensaboado,SSS,br,americas
Demon1,0001,las,americas
blue lightning,zoom,na,americas
FVN Feng,Ultio,br,americas
as I lay here,dying,tr,europe
Khabib of SoloQ,HVC,euw,europe
astroviolence,999,las,americas
Berik,fish,na,americas
kbzn,zzz,las,americas
sleep,JUG,kr,asia
EndlessLies,luv,euw,europe
aegis,777k,euw,europe
VUYAH MIKIS,bruja,las,americas
Omar Marmoush,silva,euw,europe
rather lie,303,eune,europe
love,ydkm,na,americas
LetsAllLoveLain,L41N,br,americas
EloBuddler,Mole,euw,europe
Dark,0130,kr,asia
ill irl,EUNE,eune,europe
John Wick 5,KEANU,euw,europe
73062426del,KR1,kr,asia
gigachadrick,chad,na,americas
Grow1ng,LAS,las,americas
Ulquiorra Cifer,Eden,euw,europe
arkadata v1,EUW,euw,europe
Jenxas v2,EUW,euw,europe
PICANTIT0,LAS,las,americas
123awpjgkhqk,snov,br,americas
5862pp,yep,euw,europe
C R U E L O W,LOWS,eune,europe
Sash,Col,lan,americas
kileris10,EUW,euw,europe
Hate me now,shhh,euw,europe
4batz,004,euw,europe
T1 Keria,Diddy,euw,europe
shiro,sora0,euw,europe
opqwid,qwid,na,americas
Sukran Reborn,lov,euw,europe
ZodeLiak,Cicky,eune,europe
Cari,sora9,na,americas
Uelahmairke,RU1,ru,europe
Christian Dior,L9v1,euw,europe
G2 ANDREWTATE,xdd,na,americas
L0u1s,WRr,euw,europe
ilsafy in NA,mb1,na,americas
DANIELLARSONFANS,05621,na,americas
TB Fuyuki,LAN,lan,americas
Tainted Kami,333,euw,europe
Tokentastic,EUW,euw,europe
greenreaper007,EUW,euw,europe
le phenomene,AKOS,euw,europe
GigaOOF,NA1,na,americas
Fiddlebricks,Fidd,euw,europe
Muttinho,001,las,americas
Cups,8787,na,americas
N1 Daynas,EUW,euw,europe
Lorath,KR1,kr,asia
ElmillorFanBoy10,LAS,las,americas
cabeza,vulva,las,americas
RengarProMaster,EUNE,eune,europe
uanvinain,LAS,las,americas
PERCENT,2001,br,americas
ioio22,kr2,kr,asia
Ray,gmini,eune,europe
DrUno,UNO,na,americas
ImortalKillerBR,br1,br,americas
Tiveleyef,LAN,lan,americas
Lord Knight,LK1,lan,americas
MaXitoAdriano,LAN,lan,americas
Sigma Grindset,smoke,euw,europe
NDMay0,NA1,na,americas
Esssatet,5077,na,americas
YoMenik,MOBYN,euw,europe
VLLC,MILEI,lan,americas
Blobby,001,euw,europe
General Logius,EUNE1,eune,europe
alright than,PhD,na,americas
Mimage,123,na,americas
ponkins,NA1,na,americas
Fakon,12345,br,americas
Pegao,BOT,euw,europe
Prime,JUNGL,na,americas
guzcarlosx,LAN,lan,americas
PREGNANT PIG 666,66666,euw,europe
Bob Tschigerillo,B1CEP,euw,europe
John El Greco,Greco,euw,europe
ALEX HO,NA1,na,americas
andrzej dymisko,333,eune,europe
Aeaddon,EUW,euw,europe
Only Ranged TOP,1337,eune,europe
The Exceed,NA1,na,americas
shacotime,KR2,kr,asia
Cho Woo Hyung,KR1,kr,asia
Brainless Efyra,6879,eune,europe
XeQM4T3,XeQ,br,americas
Lyubimii,uWu,tr,europe
Madhusito,BBTO,lan,americas
lvl 99 ohio boss,nerd,euw,europe
JebronLames,WIN,euw,europe
TB Fuyuki,Fuyu,lan,americas
UKEL Sub Jgl,EUW,euw,europe
LostWarriors,LAN,lan,americas
Cid,2999,las,americas
Project amock,KR1,kr,asia
Im the lucky boy,KR1,kr,asia
moin,moin0,na,americas
startup,ask,kr,asia
last night,party,br,americas
RebornMountainx,NA1,na,americas
zzZRafinhaZzz,SOPA,br,americas
T1 Scythe,EUW,euw,europe
Last go,0731,kr,asia
CHAMA,KR87,kr,asia
ma lolo2,EUW,euw,europe
LIN,0619,na,americas
Raxhy,000,euw,europe
OLYMPIA 2027,1337,euw,europe
xokrates,247,las,americas
Its Ibarazinho,Biss,br,americas
MB SorryMaker,Sorry,jp,asia
kehaq,EUNE,eune,europe
Gui,9965,br,americas
xFast0,LAS,las,americas
SouIIess,BR1,br,americas
Onam,3000,euw,europe
llllEllll,lElEI,euw,europe
Ekin,BGT,na,americas
Gromp Rider,SEJ,na,americas
Lesbian Yandere,wlw,euw,europe
Tanja Savicc,EUNE,eune,europe
c4lidus,EUW,euw,europe
Zatalana,Alb,eune,europe
Summoners Rift,Rank1,eune,europe
juanopior,br1,br,americas
Dadou,FF15,euw,europe
LunaVoltuniel,EUNE,eune,europe
Yuriyumilol,NA1,na,americas
tonypolanco,6159,las,americas
chickyfighthard,EUW,euw,europe
flere,000,na,americas
balulover,fiuza,br,americas
Deef,2991,euw,europe
GaaBriieel,Chile,las,americas
Just1Bastard,FRA,euw,europe
lolloashe,EUW,euw,europe
kvbik,ezz,eune,europe
Bubble Rhino,EUW,euw,europe
Vinny,inf,euw,europe
KUNO,348,tr,europe
ProBo1337,EUW,euw,europe
JieJie,LPL,euw,europe
JSAG,ELOHA,euw,europe
La Mariposa,1210,kr,asia
PiGiXx,EUW,euw,europe
Groumpi,0505,euw,europe
poopoogan,NA1,na,americas
ALE GENTILEZA,cana,br,americas
Diddy,LAN,lan,americas
Theick,1108,br,americas
SrMoguel,waows,lan,americas
forwoij,EUW,euw,europe
TropicWar,EUW,euw,europe
AD Sin,NA1,na,americas
tulinha is Life,br1,br,americas
Freebaboon,APE,euw,europe
7CoPaSX,br1,br,americas
ARK BABUS,ELRIC,euw,europe
Leonardo Marin,RU1,ru,europe
ANT EGGWUH,NA1,na,americas
SPG Sapitolegend,SPG,las,americas
asuna,lcz,br,americas
Hartinfarct,000,euw,europe
EnJoy,KR02,kr,asia
Raquoz,NA1,na,americas
Cpt Maelstrom,SEJU,eune,europe
U Han,123,kr,asia
zhangyueyue,1029,kr,asia
AJbaonv,CN1,kr,asia
i dont care,cbaaa,euw,europe
Kroll,LAS,las,americas
Aginomoto,br1,br,americas
zzz0drk1,EUNE,eune,europe
disgusting loser,148,eune,europe
WQEQWEWQ,WQEQW,kr,asia
Judgement,EUNE1,eune,europe
